id,title,description,availibility,condition,price,link,image_link,BRAND,category,sub-category,length,colour,pattern,fit
0,Chalkboard Dress In White Floral,Embrace elegance with the Chalkboard Dress in White Floral. Its comfortable fit and white floral pattern make it perfect for any occasion.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1000,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rochalkboard_dress_in_white_floral.jpg?v=1586240892,Netcore,Dresses,dress,maxi,white,floral,Comfortable
1,Open Communication Dress In Navy Floral,Make a statement with the Open Communication Dress in Navy Floral. The maxi length and navy floral design create a captivating and stylish look.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1001,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/roopen_communication_dress_in_navy_floral.jpg?v=1586240893,Netcore,Dresses,dress,maxi,blue,floral,Comfortable
2,Notre Dame Maxi Dress In Yellow Floral,Shine bright in the Notre Dame Maxi Dress in Yellow Floral. The vibrant yellow and floral print will make you the center of attention wherever you go.,in stock,new,31 USD,https://netcoredemo.myshopify.com/collections/dress/products/1002,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/notre_dame_maxi_dress_in_yellow_floral_ro.jpg?v=1586240895,Netcore,Dresses,dress,maxi,yellow,floral,Comfortable
3,Best Way I Know Dress In Navy Floral,"Discover your best look with the Best Way I Know Dress in Navy Floral. The navy color and floral details, along with its slit, add a touch of allure to this maxi dress.",in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1003,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.5.27_1534_1.jpg?v=1586240897,Netcore,Dresses,dress,maxi,blue,floral,slit
4,Promenade Maxi Dress In Wine,"Be the epitome of elegance in the Promenade Maxi Dress in Wine. The rich red color and maxi length, combined with a flattering slit, create a sophisticated and glamorous ensemble.",in stock,new,85 USD,https://netcoredemo.myshopify.com/collections/dress/products/1004,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ropromenade_maxi_dress_in_wine.jpg?v=1586240899,Netcore,Dresses,dress,maxi,red,floral,slit
5,Flaming Hot Maxi Dress In Green Floral,"Make a bold fashion statement with the Flaming Hot Maxi Dress in Green Floral. The vibrant green color and floral pattern, along with the stylish slit, will turn heads wherever you go.",in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1005,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/flaming_hot_maxi_dress_in_green_floral_6.jpg?v=1586240902,Netcore,Dresses,dress,maxi,green,floral,slit
6,Women Bodycon Pink Dress Maxi,Embrace your feminine side with the Women Bodycon Pink Dress Maxi. The vibrant pink color and bodycon silhouette create a stunning and confident look.,in stock,new,27 USD,https://netcoredemo.myshopify.com/collections/dress/products/1006,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/l-dsbd03ts0171-pr-cover-story-original-imafjuv9nkgjcywf.jpg?v=1586240904,Netcore,Dresses,dress,maxi,red,floral,tight
7,yuye-xthriv Evening Party Women Flower Embroidery Lace Gown Irregular Bodycon Maxi Dress,"Make a dramatic entrance with the yuye-xthriv Evening Party Women Flower Embroidery Lace Gown Irregular Bodycon Maxi Dress. The intricate flower embroidery, lace details, and irregular hemline make it a perfect choice for special occasions.",in stock,new,22 USD,https://netcoredemo.myshopify.com/collections/dress/products/1007,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/51Wb1lnOlbL._UX569.jpg?v=1586240905,Netcore,Dresses,dress,maxi,black,floral,tight
8,Happy Sailed Women Off Shoulder Ruched Metallic Knit High Slit Evening Party Cocktail Dress,"Sparkle and shine in the Happy Sailed Women Off Shoulder Ruched Metallic Knit High Slit Evening Party Cocktail Dress. The off-shoulder design, metallic knit fabric, and high slit combine to create a glamorous and eye-catching ensemble.",in stock,new,29 USD,https://netcoredemo.myshopify.com/collections/dress/products/1008,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/61MVo5qybqL._UY606.jpg?v=1586240906,Netcore,Dresses,dress,maxi,blue,floral,tight
9,Picking It Up Maxi Wrap Dress In Dark Navy Floral,"Elevate your style with the Picking It Up Maxi Wrap Dress in Dark Navy Floral. The dark navy color, floral print, and wrap silhouette create a sophisticated and trendy look.",in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1009,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_picking_it_up_dress_in_dark_navy_floral.jpg?v=1586240909,Netcore,Dresses,dress,maxi,black,floral,slit
